#x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040
1323.817881,254.706263,105.512692,99.985535,77.719166,69.849963,64.414806,56.301382,36.757039,34.454056,32.855949,27.506207,27.284596,26.248045,24.896527,16.298011,11.950077,9.629976,9.205144,8.693152,7.634687,6.652029,6.529540,6.206441,5.644324,3.441317,2.029591,1.326875,-1.044174,-0.851235,-0.784633,-0.720411,-0.492793,-0.469838,-0.461262,-0.446177,-0.204956,-0.182020,-0.106558,-0.054602
1329.215664,259.955370,102.834969,96.281655,91.845517,74.407013,66.672213,48.487618,47.701030,34.800991,33.645460,32.262713,19.805078,18.930057,11.890659,10.543256,10.071517,9.595841,7.739777,6.777741,5.191852,3.745097,1.699423,-1.027514,-0.903129,-0.887327,-0.713503,-0.597309,-0.356150,-0.331438,-0.159961,-0.122041,-0.075235,-0.072200,-0.065516,-0.060152,0.004793,0.000000,0.000000,0.000000
1417.531372,434.314894,379.431729,156.217811,104.662453,81.935970,57.292817,42.135234,33.192508,28.635713,24.039951,20.176683,17.926766,15.604523,13.736979,10.451958,8.739461,7.362491,2.644062,-1.045493,-0.955961,-0.920622,-0.869681,-0.852704,-0.654948,-0.644300,-0.423035,-0.393262,-0.182723,-0.151789,-0.147316,-0.108076,-0.095845,-0.077154,-0.072988,-0.066853,-0.053645,0.040877,0.014656,0.009713
2702.648707,1166.855567,226.622937,120.136951,112.827839,74.247188,59.472777,43.041318,39.522180,36.796838,34.573141,30.977603,29.514183,28.883780,24.074823,20.449311,16.325716,13.311971,11.311370,9.499803,8.317911,6.963961,5.309706,5.221466,4.121546,2.994879,2.400361,2.174298,1.420759,-1.136172,-0.843368,-0.823643,-0.800700,-0.515847,-0.480862,-0.423824,-0.347850,-0.321707,-0.305183,-0.190859
1318.919488,413.463411,253.367586,119.604850,94.787240,75.747047,62.939063,54.499561,49.129770,40.839494,37.299854,34.465265,32.339721,29.981086,27.181284,21.906739,16.399274,10.234360,10.178755,9.850889,8.537705,7.910298,6.508781,5.611495,4.798998,2.610212,1.695445,-1.206795,-1.103224,-0.856109,-0.595389,-0.574135,-0.491426,-0.392883,-0.363162,0.320181,-0.157613,-0.148200,-0.139062,-0.014870
1285.365758,207.822253,91.100382,66.952477,55.877616,43.870835,36.096469,27.419913,26.966807,24.135279,22.176564,20.421800,14.402897,11.620782,8.298602,6.356173,5.999140,3.309724,1.376555,-1.131780,-0.993421,-0.960701,-0.906158,-0.874126,-0.840055,-0.550174,-0.475381,-0.369848,-0.345508,-0.216436,-0.154981,-0.137510,-0.116552,-0.087611,-0.073974,-0.071339,-0.051823,-0.043384,0.020728,0.002496
1455.756339,465.421850,364.091263,297.509569,150.975890,86.676459,72.334717,43.179756,42.391784,36.921113,28.441549,27.659825,23.986281,22.932861,19.656419,11.937635,9.820261,8.614501,8.503466,6.108739,3.148993,1.353118,-1.203602,-1.005513,-0.974663,-0.839721,-0.835549,-0.652734,-0.583000,-0.470773,-0.350551,-0.208826,-0.172281,-0.154101,-0.136221,-0.112325,-0.057496,-0.044831,0.033978,-0.028015
1368.430150,369.572257,261.347196,131.320499,78.880486,48.490953,47.101980,41.982554,28.302235,26.972903,26.834328,22.244768,14.471999,13.343249,13.113839,13.017842,5.206935,3.123825,3.110608,-1.023183,-1.019357,-0.874298,-0.871471,-0.812743,-0.779087,-0.738462,-0.443324,-0.256586,-0.184725,-0.127658,-0.124488,-0.117379,-0.110797,-0.108928,-0.060634,-0.058598,0.010575,-0.007474,0.003525,0.001367
1287.671205,207.660842,90.348800,66.611474,55.095299,43.795993,36.068117,27.499911,27.105684,24.253508,22.182244,20.374145,14.185520,11.576846,8.304916,6.254297,5.999994,3.306738,1.288060,-1.137711,-1.002511,-0.961262,-0.908403,-0.880622,-0.839445,-0.558299,-0.475210,-0.357123,-0.335877,-0.208179,-0.172627,-0.134463,-0.109837,-0.090809,-0.074722,-0.070606,-0.062764,-0.043986,0.025467,0.007881
1428.412409,442.601856,368.736588,184.009943,115.095980,75.993776,60.363577,56.042447,44.986667,41.353316,36.697658,35.537337,27.470706,26.346065,22.451477,14.892938,13.376243,11.195106,9.707148,7.441742,6.324581,4.957570,2.059132,1.178755,-1.167588,-1.048628,-0.945135,-0.890894,-0.683174,-0.551381,-0.464649,-0.460951,-0.213743,-0.203230,-0.150242,-0.091929,-0.074675,-0.067727,-0.054885,0.008565
