#Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability,MND
-2411.866158,-0.091109,4.628100,-0.576040,0.135740,-0.338820,-0.203080,276.939646,8.000000
-2369.549709,-0.066995,3.098900,-0.751330,0.120730,-0.209400,-0.088670,191.386686,7.000000
-2915.083880,-0.073557,3.863700,0.355070,0.076410,-0.156320,-0.079910,205.630977,5.000000
-5771.613093,-0.182872,3.894700,0.557890,0.041900,-0.156030,-0.114130,527.669816,4.000000
-5068.814236,-0.313464,18.005100,0.268760,0.082710,-0.141840,-0.059130,754.722718,6.000000
-3257.178927,-0.246014,3.550500,0.865420,0.053140,-0.123080,-0.069940,544.728820,4.000000
-3374.122976,-0.107887,10.083500,0.608550,0.050710,-0.150960,-0.100250,288.470209,5.000000
-3417.991704,-0.194829,0.422500,-0.635810,0.125610,-0.303150,-0.177540,470.346030,8.000000
-2695.720147,-0.163710,1.108000,0.560110,0.076640,-0.151490,-0.074850,406.751129,7.000000
-3219.822171,-0.096809,7.152100,0.277090,0.074450,-0.175740,-0.101290,281.985003,4.000000
-3042.605548,-0.081008,6.886000,0.407530,0.055350,-0.151670,-0.096320,248.964700,4.000000
-4050.904094,-0.318888,1.373000,0.369100,0.112390,-0.151580,-0.039190,722.611658,4.000000
-2939.266290,-0.110994,4.656600,-0.486690,0.119260,-0.148810,-0.029550,289.795535,8.000000
-3432.382245,-0.186395,6.777700,-0.158950,0.101350,-0.195240,-0.093890,512.691475,6.000000
-2841.102321,-0.144441,3.541800,0.917450,0.060660,-0.150420,-0.089760,413.561444,4.000000
-1912.873763,-0.037811,3.019900,-0.821670,0.093600,-0.189700,-0.096100,146.337623,7.000000
-2831.641068,-0.111409,5.024800,-0.386440,0.090560,-0.199600,-0.109040,333.878434,8.000000
-3031.986218,-0.155901,3.273500,-0.542830,0.120360,-0.163770,-0.043410,403.453575,8.000000
-7836.453112,-0.152850,7.444900,0.029280,0.058820,-0.160540,-0.101720,370.128411,5.000000
-3501.035672,-0.191736,4.916200,-0.915660,0.136720,-0.183370,-0.046650,454.836420,9.000000
-3314.305623,-0.119781,15.212900,0.402810,0.055250,-0.152620,-0.097370,342.529934,6.000000
-3338.033287,-0.214971,10.628700,-1.375720,0.089560,-0.166420,-0.076860,502.101327,5.000000
-2115.729273,-0.047435,6.374500,-1.025350,0.123300,-0.204510,-0.081210,177.140493,6.000000
-4945.928593,-0.071658,1.866500,-0.914660,0.141690,-0.217520,-0.075830,251.462500,7.000000
-3846.216009,-0.249146,5.029900,0.964740,0.060890,-0.138330,-0.077440,663.806439,4.000000
-2839.730524,-0.073892,5.091900,0.332980,0.083350,-0.176150,-0.092800,212.482629,4.000000
-3893.720868,-0.231580,2.086900,-0.665560,0.094950,-0.156960,-0.062010,542.222924,8.000000
-6535.266569,-0.217118,5.029600,-0.520580,0.102400,-0.151370,-0.048970,538.976384,8.000000
-2778.370805,-0.068479,6.246100,0.420780,0.079960,-0.143820,-0.063860,189.752494,5.000000
-2887.557966,-0.123786,4.169800,-0.300400,0.139800,-0.225270,-0.085470,356.760686,8.000000
-2053.078694,-0.070658,3.381400,-0.384930,0.132930,-0.352840,-0.219910,191.286435,8.000000
-3211.727668,-0.224022,2.607600,-0.199310,0.058910,-0.121000,-0.062090,525.704349,5.000000
-3264.607436,-0.218920,1.828600,0.903450,0.072480,-0.170980,-0.098500,538.413070,4.000000
-9075.036420,-0.316429,17.991100,0.272340,0.081130,-0.141650,-0.060520,766.096992,6.000000
-3869.991165,-0.201877,3.000300,-0.905530,0.147120,-0.296900,-0.149780,481.175786,8.000000
-3399.275852,-0.124888,7.551100,-1.848620,0.154930,-0.193830,-0.038900,340.687740,5.000000
-4367.072103,-0.148613,4.036200,0.105630,0.109700,-0.216310,-0.106610,456.211599,6.000000
-2761.448373,-0.101683,1.642500,-0.977460,0.130530,-0.224470,-0.093940,291.551523,7.000000
-3178.426790,-0.115294,4.425700,-0.600600,0.122950,-0.326780,-0.203830,328.605334,8.000000
